Pref	Name
Monpe1_1	Moniliophthora_perniciosa_FA553
Morel1	Mortierella_elongata
Mver	Mortierella_verticillata_NRRL_6337
Mucci2	Mucor_circinelloides_CBS277_49
Mthe	Myceliophthora_thermophila_ATCC_42464
Mfij	Mycosphaerella_fijiensis
Mgra	Mycosphaerella_graminicola_IPO323
Myrdu1	Myriangium_duriaei_CBS_260_36
Naifl1	Naiadella_fluitans_ATCC_64713
Nhae	Nectria_haematococca_FGSC_9596
Nempa1	Nematocida_parisii_ERTm1
Neole1	Neolentinus_lepideus_HHB14362_ss_1
Ncra	Neurospora_crassa_OR74A
Nosce1	Nosema_ceranae_BRL01
Opar	Ogataea_parapolymorpha_DL_1
Oidma1	Oidiodendron_maius_Zn
Opic	Ophiostoma_piceae_UAMH_11346
Orpsp1_1	Orpinomyces_sp_C1A
Pbra	Paracoccidioides_brasiliensis_Pb18
Patat1	Patellaria_atrata_CBS_101060
Paxin1	Paxillus_involutus_ATCC_200175
Pchr	Penicillium_chrysogenum_Wisconsin_54_1255
Phaal1	Phaeoacremonium_aleophilum_UCRPA7
Pnod	Phaeosphaeria_nodorum_SN15
Phchr2	Phanerochaete_chrysosporium_2
Phlbr1	Phlebia_brevispora_HHB_7030_SS6
Phlgi1	Phlebiopsis_gigantea_11061_1_CR5_6
Pbla	Phycomyces_blakesleeanus_NRRL_1555
Picst3	Pichia_stipitis_CBS_6054
Pieho1_1	Piedraia_hortae_CBS_480_64_1
PirE2_1	Piromyces_sp_E2
Pisti1	Pisolithus_tinctorius_Marx_270
Plesi1	Pleomassaria_siparia_CBS_279_74
Post	Pleurotus_ostreatus_PC15
Plicr1	Plicaturopsis_crispa_CBS_459_81
Pjir	Pneumocystis_jirovecii_SE8
Polci1	Polychaeton_citri_CBS_116435
Pospl1	Postia_placenta_MAD_698_R
Pdes	Pseudogymnoascus_destructans_20631_21
Pant	Pseudozyma_antarctica_T_34
Pgra	Puccinia_graminis_fsp_tritici_CRL_75_36_700_3
Pstr	Punctularia_strigosozonata_HHB_11173_SS5
Ptri	Pyrenophora_tritici_repentis
Ramac1	Ramaria_rubella_UT_36052_T
Rsol	Rhizoctonia_solani_AG_1_IA
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rdel	Rhizopus_delemar_RA_99_880
Rtor	Rhodosporidium_toruloides_NP11
Rhoba1_1	Rhodotorula_graminis_WP1_1
Rhomi1	Rhodotorula_minuta_MCA_4210
Rhyru1	Rhytidhysteron_rufulum_CBS_306_38
Rall	Rozella_allomycis_CSF55
Sacpr1	Saccharata_proteae_CBS_121410
Scer	Saccharomyces_cerevisiae_S288C
Scom	Schizophyllum_commune_H4_8
Schpa1	Schizopora_paradoxa_KUC8140
Soct	Schizosaccharomyces_octosporus_yFS286
Sclci1	Scleroderma_citrinum_Foug_A
Sscl	Sclerotinia_sclerotiorum_1980_UF_70
Sebve1	Sebacina_vermifera_MAFF_305830
Slac	Serpula_lacrymans_S7_3
Sissu1	Sistotremastrum_suecicum_HHB10207_ss_3
Smac	Sordaria_macrospora_k_hell
Spas	Spathaspora_passalidarum_NRRL_Y_27907
Sphst1	Sphaerobolus_stellatus_SS14
Smus	Sphaerulina_musiva_SO2202
Srei	Sporisorium_reilianum_SRZ2
Spoli1	Sporobolomyces_linderae_CBS_7893
Sporo1	Sporobolomyces_roseus_CBS_119925
Spofi1	Sporormia_fimetaria
Shir	Stereum_hirsutum_FP_91666_SS1
Suibr1	Suillus_brevipes
Suilu1	Suillus_luteus_UH_Slu_Lm8_n1
Symko1	Symbiotaphrina_kochii_250_77
Tmar	Talaromyces_marneffei_ATCC_18224
Tsti	Talaromyces_stipitatus_ATCC_10500
Tdef	Taphrina_deformans
Tpha	Tetrapisispora_phaffii_CBS_4417
Theau1	Thermoascus_aurantiacus_ATCC26904
Tano	Tilletiaria_anomala_UBC_951
Tmin	Togninia_minima_UCRPA7
Tdel	Torulaspora_delbrueckii_CBS_1146
Tver	Trametes_versicolor_FP_101664_SS1
Trepe1	Trematosphaeria_pertusa_CBS_122368
Tmes	Tremella_mesenterica_Fries
Triat2	Trichoderma_atroviride_IMI_206040
Trima3	Tricholoma_matsutake_945
Trub	Trichophyton_rubrum_CBS_118892
Tasa	Trichosporon_asahii_var_asahii_CBS_8904
Triol1	Trichosporon_oleaginosus_IBC0246
Trisp1	Tritirachium_sp_CBS_265_96
Tryvi1	Trypethelium_eluteriae
Tmel	Tuber_melanosporum
Umbra1	Umbelopsis_ramanniana_NRRL_5844
Uree	Uncinocarpus_reesii_1704
Verda1	Verticillium_dahliae_JR2
Volvo1	Volvariella_volvacea_V23
Wich	Wallemia_ichthyophaga_EXF_994
Walse1	Wallemia_sebi_CBS_633_66
Wilmi1	Wilcoxina_mikolae_CBS_423_85
Wolco1	Wolfiporia_cocos_MD_104_SS10
Xanpa1	Xanthoria_parietina_46_1
Xylhe1	Xylona_heveae_TC161
Ylip	Yarrowia_lipolytica_CLIB122
Zasce1	Zasmidium_cellare_ATCC_36951
Zoprh1	Zopfia_rhizophila_CBS_207_26
Zrou	Zygosaccharomyces_rouxii_CBS_732
